1:1	Adam|the-man Seth|Seth Enos|Enosh
15:15	Und|and die|the Kinder|old Levi|Levite trugen|bear die|the Lade|coffin Gottes|of-God auf|on ihren|their Achseln|side mit|with den|the Stangen|yoke daran|above wie|as Mose|Moses geboten|commanded hatte|command nach|after dem|the Wort|word des|of-the HERRN|GOD
15:16	Und|and David|David sprach|said zu|to den|the Obersten|prince der|the Leviten|Levite daß|that sie|they ihre|their Brüder|brothers zu|to Sängern|sing bestellen|[bestellen] sollten|stood mit|with Saitenspiel|vessel mit|with Psaltern|psalteries Harfen|harp und|and hellen|[hellen] Zimbeln|cymbal daß|that sie|they laut|exalt sängen|hear und|and mit|with Freuden|joy
15:17	Da|then bestellten|stood die|the Leviten|Levite Heman|Heman den|the Sohn|old Joels|Joel und|and aus|stringed instrument seinen|his Brüdern|brothers Asaph|[Asaph] den|the Sohn|old Berechjas|Berechiah und|and aus|stringed instrument den|the Kindern|old Meraris|Merari ihren|their Brüdern|brothers Ethan|[Ethan] den|the Sohn|old Kusajas|[Kusajas]
15:18	und|and mit|hide ihnen|them ihre|their Brüder|brothers der|the zweiten|second Ordnung|[Ordnung] Sacharja|Zachariah Ben-|[Ben-] Jaesiel|[Jaesiel] Semiramoth|[Semiramoth] Jehiel|Jehiel Unni|Unni Eliab|[Eliab] Benaja|Benaiah Maaseja|Maaseiah Matthithja|Mattithiah Eliphelehu|[Eliphelehu] Mikneja|[Mikneja] Obed-|[Obed-] Edom|Edom Jeiel|Jeiel die|the Torhüter|porter
15:19	Denn|for Heman|Heman Asaph|[Asaph] und|and Ethan|[Ethan] waren|were Sänger|sing mit|with ehernen|brass Zimbeln|cymbal hell|[hell] zu|to klingen|hear
15:20	Sacharja|Zachariah aber|but Asiel|[Asiel] Semiramoth|[Semiramoth] Jehiel|Jehiel Unni|Unni Eliab|[Eliab] Maaseja|Maaseiah und|and Benaja|Benaiah mit|with Psaltern|psalteries nachzusingen|above
15:21	Matthithja|Mattithiah aber|but Eliphelehu|[Eliphelehu] Mikneja|[Mikneja] Obed-|[Obed-] Edom|Edom Jeiel|Jeiel und|and Asasja|[Asasja] mit|with Harfen|harp von|above acht|eight Saiten|Sheminith vorzusingen|Musician
15:22	Chenanja|[Chenanja] aber|but der|the Leviten|Levite Oberster|prince der|the Sangmeister|burden daß|that er|he sie|they unterwiese|chastise zu|to singen|burden denn|and er|he war|was verständig|discerning
15:23	Und|and Berechja|Berechiah und|and Elkana|[Elkana] waren|were Torhüter|porter der|the Lade|coffin
15:24	Aber|but Sebanja|Shebaniah Josaphat|[Josaphat] Nathanael|Nethaneel Amasai|[Amasai] Sacharja|Zachariah Benaja|Benaiah Elieser|Eliezer die|the Priester|priest bliesen|[bliesen] die|the Drommeten|trumpet vor|face der|the Lade|coffin Gottes|of-God und|and Obed-|[Obed-] Edom|Edom und|and Jehia|[Jehia] waren|be thou Torhüter|porter an|to der|the Lade|coffin
15:25	Also|be thou gingen|went hin|go David|David und|and die|the Ältesten|elders in|in Israel|Israelites und|and die|the Obersten|prince über|over die|the Tausende|[Tausende] heraufzuholen|offer die|the Lade|coffin des|of-the Bundes|covenant des|of-the HERRN|GOD aus|stringed instrument dem|the Hause|household Obed-|[Obed-] Edoms|of-Edom mit|with Freuden|joy
15:26	Und|and da|be thou Gott|God den|the Leviten|Levite half|help die|the die|the Lade|coffin des|of-the Bundes|covenant des|of-the HERRN|GOD trugen|bear opferte|sacrifice man|one sieben|seven Farren|bullock und|and sieben|seven Widder|ram
15:27	Und|and David|David hatte|had einen|a leinenen|[leinenen] Rock|robe an|to dazu|also alle|all (manner Leviten|Levite die|the die|the Lade|coffin trugen|bear und|and die|the Sänger|sing und|and Chenanja|[Chenanja] der|the Sangmeister|burden mit|with den|the Sängern|sing auch|also hatte|above David|David einen|a leinenen|[leinenen] Leibrock|[Leibrock] darüber|above
15:28	Also|so brachte|offer das|the ganze|all (manner Israel|Israelites die|the Lade|coffin des|of-the Bundes|covenant des|of-the HERRN|GOD hinauf|offer mit|with Jauchzen|shout Posaunen|voice Drommeten|trumpet und|and hellen|[hellen] Zimbeln|cymbal mit|with Psaltern|psalteries und|and Harfen|harp
15:29	Da|be thou nun|now die|the Lade|coffin des|of-the Bundes|covenant des|of-the HERRN|GOD in|ever die|the Stadt|town Davids|David kam|came sah|look Michal|[Michal] die|the Tochter|daughter Sauls|Saul zum|about Fenster|window heraus|look und|and da|then sie|they den|the König|royal David|David sah|see hüpfen|dance und|and spielen|play verachtete|despised sie|they ihn|him in|in ihrem|her Herzen|heart
16:1	Und|and da|then sie|they die|the Lade|coffin Gottes|of-God hineinbrachten|[hineinbrachten] setzten|mounted sie|set sie|they in|midst die|the Hütte|tent die|the ihr|you David|David aufgerichtet|set-up hatte|incline und|and opferten|offer Brandopfer|ascent und|and Dankopfer|peace vor|face Gott|God
16:2	Und|and da|then David|David die|the Brandopfer|ascent und|and Dankopfer|peace ausgerichtet|done hatte|consume segnete|blessed er|bless das|the Volk|nation im|in-the Namen|name des|of-the HERRN|GOD
16:3	und|and teilte|divide aus|from jedermann|all (manner in|in Israel|Israelites Männern|men und|ever Weibern|wives einen|a Laib|talent Brot|bread und|and ein|a Stück|matter Fleisch|flesh und|and ein|a halbes|half Maß|measures Wein|wine
16:4	Und|and er|he bestellte|put etliche|stringed instrument Leviten|Levite zu|to Dienern|serve vor|face der|the Lade|coffin des|of-the HERRN|GOD daß|that sie|they priesen|praised dankten|praise und|and lobten|praise den|the HERRN|GOD den|the Gott|God Israels|Israelites
16:5	nämlich|namely Asaph|[Asaph] den|the ersten|head Sacharja|Zachariah den|the andern|second Jeiel|Jeiel Semiramoth|[Semiramoth] Jehiel|Jehiel Matthithja|Mattithiah Eliab|[Eliab] Benaja|Benaiah Obed-|[Obed-] Edom|Edom und|and Jeiel|Jeiel mit|with Psaltern|vessel und|and Harfen|harp Asaph|[Asaph] aber|but mit|with hellen|hear Zimbeln|cymbal
16:6	Benaja|Benaiah aber|but und|and Jahasiel|Jahaziel die|the Priester|priest mit|with Drommeten|trumpet allezeit|continually vor|face der|the Lade|coffin des|of-the Bundes|covenant Gottes|of-God
16:7	Zu|to der|he Zeit|time bestellte|put David|David zum|as-a ersten|head dem|the HERRN|GOD zu|to danken|praise durch|by Asaph|[Asaph] und|and seine|his Brüder|brothers
16:8	Danket|praise dem|the HERRN|GOD prediget|call seinen|his Namen|name tut|do kund|know unter|under den|the Völkern|nation sein|his Tun|doing
16:9	Singet|sing und|and spielet|praise ihm|him dichtet|talk von|from allen|all (manner seinen|his Wundern|wonders
16:10	Rühmet|praise seinen|his heiligen|holy Namen|name es|it freue|rejoice sich|himself das|the Herz|heart derer|[derer] die|the den|the HERRN|GOD suchen|seek
16:11	Fraget|seek nach|after dem|the HERRN|GOD und|and nach|after seiner|his Macht|strength suchet|seek sein|his Angesicht|face allezeit|continually
16:12	Gedenket|remember seiner|his Wunderwerke|wonders die|the er|he getan|done hat|make seiner|his Wunder|wonder und|and der|the Gerichte|judgment seines|his Mundes|mouth
16:13	ihr|you der|the Same|seed Israels|Israelites seines|his Knechtes|servant ihr|you Kinder|old Jakobs|Jacob seine|his Auserwählten|[Auserwählten]
16:14	Er|he ist|is der|the HERR|GOD unser|our Gott|God er|he richtet|judgment in|in aller|all (manner Welt|earth
16:15	Gedenket|remember ewiglich|ever seines|his Bundes|covenant was|word er|he verheißen|promised hat|command in|in tausend|thousand Geschlechter|generation
16:16	den|the er|he gemacht|made hat|make mit|with Abraham|Abraham und|and seines|his Eides|oath mit|with Isaak|Isaac
16:17	und|and stellte|stood es|it Jakob|Jacob zum|as-a Recht|statute und|and Israel|Israelites zum|as-a ewigen|ever Bund|covenant
16:18	und|and sprach|said Dir|you will|will ich|I das|the Land|land Kanaan|Canaan geben|put das|the Los|sorrows eures|your Erbteils|inheritance
16:19	da|then sie|they wenig|men und|and gering|little waren|be thou und|and Fremdlinge|sojourn darin|in-it
16:20	Und|and sie|they zogen|go von|stringed instrument einem|a Volk|nation zum|ever andern|nation und|and aus|stringed instrument einem|a Königreich|kingdom zum|as-a andern|another Volk|nation
16:21	Er|he ließ|leave niemand|not ihnen|them Schaden|harm tun|oppress und|and strafte|reprove Könige|royal um|above ihretwillen|her-sake
16:22	“|[“] Tastet|touch meine|my Gesalbten|anointed nicht|not an|touch und|and tut|evil meinen|my Propheten|prophet kein|no Leid|evil ”|[”]
16:23	Singet|sing dem|the HERRN|GOD alle|all (manner Lande|land verkündiget|tidings täglich|stringed instrument sein|his Heil|salvation
16:24	Erzählet|scribe unter|under den|the Heiden|nation seine|his Herrlichkeit|glory unter|under allen|all (manner Völkern|nation seine|his Wunder|wonders
16:25	Denn|and der|the HERR|GOD ist|is groß|great und|and sehr|very löblich|praise und|he herrlich|fear über|above alle|all (manner Götter|gods
16:26	Denn|and aller|all (manner Heiden|nation Götter|gods sind|are Götzen|household-idols der|the HERR|GOD aber|but hat|has den|the Himmel|heaven gemacht|make
16:27	Es|it stehet|[stehet] herrlich|glory und|and prächtig|glory vor|before ihm|face und|and gehet|go gewaltig|strength und|and fröhlich|gladness zu|to an|to seinem|his Ort|place
16:28	Bringet|give her|here dem|the HERRN|GOD ihr|you Völker|families bringet|give her|here dem|the HERRN|GOD Ehre|glory und|and Macht|strength
16:29	Bringet|give her|here dem|the HERRN|GOD die|the Ehre|glory seines|his Namens|name bringet|bear Geschenke|offering und|and kommt|comes vor|before ihn|face und|and betet|worship den|the HERRN|GOD an|to in|in heiligem|holy Schmuck|beauty
16:30	Es|it fürchte|pain ihn|stringed instrument alle|all (manner Welt|earth er|he hat|has den|the Erdboden|world bereitet|prepare daß|that er|he nicht|lest bewegt|[bewegt] wird|moved
16:31	Es|it freue|[freue] sich|rejoice der|the Himmel|heaven und|and die|the Erde|earth sei|be Fröhlich|rejoice und|and man|one sage|say unter|under den|the Heiden|nation daß|that der|the HERR|GOD regieret|reign
16:32	Das|the Meer|sea brause|thunder und|and was|what darinnen|[darinnen] ist|full und|and das|the Feld|field sei|be fröhlich|rejoice und|and alles|all (manner was|what darauf|on-it ist|is
16:33	Und|and lasset|leave jauchzen|sing alle|all Bäume|tree im|in-the Walde|forest vor|stringed instrument dem|the HERRN|GOD denn|and er|he kommt|comes zu|to richten|plead die|the Erde|earth
16:34	Danket|praise dem|the HERRN|GOD denn|and er|he ist|is freundlich|good und|and seine|his Güte|mercy währet|[währet] ewiglich|ever
16:35	Und|and sprecht|say Hilf|save uns|us Gott|God unser|our Heiland|salvation und|and sammle|gather uns|us und|and errette|deliver uns|us aus|stringed instrument den|the Heiden|nation daß|that wir|we deinem|your heiligen|holy Namen|name danken|praise und|and dir|you Lob|praise sagen|praise
16:36	Gelobet|bless sei|be der|the HERR|GOD der|the Gott|God Israels|Israelites von|stringed instrument Ewigkeit|ever zu|ever Ewigkeit|ever Und|and alles|all (manner Volk|nation sagte|told Amen|[Amen] und|and Lobe|praise den|the HERRN|GOD
16:37	Also|so ließ|had er|forsake daselbst|there vor|face der|the Lade|coffin des|of-the Bundes|covenant des|of-the HERRN|GOD den|the Asaph|[Asaph] und|and seine|his Brüder|brothers zu|to dienen|serve vor|face der|the Lade|coffin allezeit|continually einen|a jeglichen|one Tag|time sein|his Tagewerk|time
16:38	aber|but Obed-|[Obed-] Edom|Edom und|and ihre|their Brüder|brothers achtundsechzig|eight und|and Obed-|[Obed-] Edom|Edom den|the Sohn|old Jedithuns|Jeduthun und|and Hosa|Hosah zu|to Torhütern|porter
16:39	Und|and Zadok|Zadok den|the Priester|priest und|and seine|his Brüder|brothers die|the Priester|priest ließ|had er|he vor|face der|the Wohnung|tabernacle des|of-the HERRN|GOD auf|on der|the Höhe|heights zu|to Gibeon|Gibeon
16:40	daß|that sie|they dem|the HERRN|GOD täglich|continually Brandopfer|ascent täten|offer auf|above dem|the Brandopferaltar|altar des|of-the Morgens|morning und|and des|of-the Abends|even wie|all (manner geschrieben|[geschrieben] steht|write im|in-the Gesetz|law des|of-the HERRN|GOD das|the er|above an|to Israel|Israelites geboten|commanded hat|command
16:41	und|and mit|hide ihnen|them Heman|Heman und|and Jedithun|Jeduthun und|and die|the andern|remnant Erwählten|pure die|the mit|with Namen|name benannt|[benannt] waren|curse zu|to danken|praise dem|the HERRN|GOD daß|and seine|his Güte|mercy währet|[währet] ewiglich|ever
16:42	und|and mit|hide ihnen|them Heman|Heman und|and Jedithun|Jeduthun mit|with Drommeten|trumpet und|and Zimbeln|cymbal zu|to klingen|hear und|and mit|with Saitenspielen|vessel Gottes|of-God Die|the Kinder|old aber|but Jedithun|Jeduthun machte|made er|he zu|to Torhütern|gate
16:43	Also|so zog|go alles|all (manner Volk|nation heim|go ein|a jeglicher|one in|in sein|his Haus|household und|and David|David kehrte|compass auch|also heim|home sein|his Haus|household zu|to grüßen|bless
17:1	Es|it begab|happened sich|be thou da|then David|David in|in seinem|his Hause|household wohnte|dwell sprach|said er|David zu|to dem|the Propheten|prophet Nathan|Nathan Siehe|behold ich|I wohne|dwell in|in einem|a Zedernhaus|[Zedernhaus] und|and die|the Lade|coffin des|of-the Bundes|covenant des|of-the HERRN|GOD ist|is unter|Toah Teppichen|curtain
17:2	Nathan|Nathan sprach|said zu|to David|David Alles|all (manner was|what in|in deinem|your Herzen|heart ist|is das|the tue|make denn|and Gott|God ist|is mit|hide dir|you
17:3	Aber|be thou in|in derselben|he Nacht|night kam|be thou das|the Wort|word Gottes|of-God zu|to Nathan|Nathan und|and sprach|said
17:4	Gehe|go hin|go und|and sage|say David|David meinem|my Knecht|servant So|also spricht|it-is-said der|the HERR|GOD Du|you sollst|shall mir|me nicht|not ein|a Haus|household bauen|build zur|to-the Wohnung|dwell
17:5	Denn|and ich|I habe|have in|in keinem|not Hause|household gewohnt|dwell von|stringed instrument dem|the Tage|time an|to da|then ich|I die|the Kinder|sons Israel|Israelites ausführte|offer bis|until auf|ever diesen|this Tag|time sondern|but bin|am gewesen|be thou wo|stringed instrument die|the Hütte|tent gewesen|been ist|is und|stringed instrument die|the Wohnung|tabernacle
17:6	Wo|where ich|I wandelte|go im|in-the ganzen|all (manner Israel|Israelites habe|have ich|I auch|also zu|to der|the Richter|plead einem|a in|in Israel|Israelites je|two gesagt|word denen|them ich|I gebot|command zu|to weiden|feed mein|my Volk|nation und|and gesprochen|[gesprochen] Warum|what baut|[baut] ihr|build mir|me nicht|not ein|a Zedernhaus|[Zedernhaus]
17:7	So|then sprich|say nun|henceforth also|also zu|to meinem|my Knecht|servant David|David So|also spricht|it-is-said der|the HERR|GOD Zebaoth|host Ich|I habe|have dich|you genommen|take von|stringed instrument der|the Weide|habitation hinter|stringed instrument den|the Schafen|flock daß|that du|you solltest|should sein|be thou ein|a Fürst|ruler über|above mein|my Volk|nation Israel|Israelites
17:8	und|and bin|am mit|hide dir|you gewesen|be thou wo|where du|you hin|away gegangen|came-out bist|go und|and habe|all (manner deine|your Feinde|enemies ausgerottet|make vor|stringed instrument dir|face und|and habe|have dir|you einen|a Namen|name gemacht|make wie|as die|the Großen|great auf|on Erden|earth Namen|name haben|have
17:9	Und|and ich|I will|will meinem|my Volk|nation Israel|Israelites eine|a Stätte|place setzen|put und|and will|will es|it pflanzen|plant daß|that es|it daselbst|Toah wohnen|dwell soll|shall und|and nicht|not mehr|testify bewegt|[bewegt] werde|tremble und|and die|the bösen|iniquity Leute|old sollen|shall es|it nicht|not mehr|more schwächen|consume wie|as vormals|first und|and zu|stringed instrument den|the Zeiten|time da|then ich|I den|the Richtern|plead gebot|command über|above mein|my Volk|nation Israel|Israelites
17:10	Und|and ich|I will|will alle|all (manner deine|your Feinde|enemies demütigen|humble und|and verkündige|tell dir|tell daß|that der|the HERR|GOD dir|you ein|a Haus|household bauen|build will|build
17:11	Wenn|and aber|be thou deine|your Tage|time aus|from sind|fill daß|that du|you hingehst|go zu|hide deinen|your Vätern|fathers so|then will|will ich|I dir|you Samen|seed erwecken|[erwecken] der|the deiner|stringed instrument Söhne|old einer|one sein|his soll|be thou dem|the will|will ich|I sein|his Königreich|kingdom bestätigen|prepare
17:12	Der|he soll|shall mir|me ein|a Haus|household bauen|build und|and ich|I will|will seinen|his Stuhl|throne bestätigen|prepare ewiglich|ever
17:13	Ich|I will|will sein|his Vater|father sein|be thou und|and er|he soll|shall mein|my Sohn|old sein|be thou Und|and ich|I will|will meine|my Barmherzigkeit|mercy nicht|not von|stringed instrument ihm|not wenden|depart wie|as ich|I sie|they von|stringed instrument dem|the gewandt|wrestled habe|depart der|the vor|face dir|you war|be thou
17:14	sondern|but ich|I will|will ihn|him setzen|stood in|in mein|my Haus|household und|and in|in mein|my Königreich|kingdom ewiglich|ever daß|that sein|his Stuhl|throne beständig|prepare sei|be thou ewiglich|ever
17:15	Und|and da|then Nathan|Nathan nach|after allen|all (manner diesen|this Worten|word und|and all|all (manner diesem|this Gesicht|vision mit|with David|David redete|speak
17:16	kam|came der|the König|royal David|David und|and blieb|dwell vor|face dem|the HERRN|GOD und|and sprach|said Wer|what bin|am ich|I HERR|GOD GOTT|God und|and was|what ist|is mein|my Haus|household daß|and du|you mich|me bis|ever hierher|hither gebracht|brought hast|have
17:17	Und|and das|hereby (-in hat|has dich|eye noch|still zu|to wenig|little gedeucht|be a  small Gott|God sondern|but du|you hast|have über|above das|the Haus|household deines|your Knechtes|servant noch|still von|stringed instrument fernem|[fernem] Zukünftigen|far geredet|speak und|and hast|have mich|me angesehen|see nach|after Menschenweise|[Menschenweise] der|the du|you in|in der|the Höhe|degree Gott|God der|the HERR|GOD bist|are
17:18	Was|what soll|shall David|David mehr|testify sagen|more zu|to dir|you daß|that du|you deinem|your Knecht|servant herrlich|glory machst|[machst] Du|you erkennst|know deinen|your Knecht|servant
17:19	HERR|GOD um|because of deines|your Knechtes|servant willen|sake nach|after deinem|your Herzen|heart hast|have du|you alle|all (manner solche|hereby (-in großen|great Dinge|greatness getan|make daß|that du|you kundtätest|know alle|all (manner Herrlichkeit|greatness
17:20	HERR|GOD es|it ist|is deinesgleichen|according to nicht|not und|and ist|is kein|no Gott|God denn|save du|you nach|after allem|all (manner was|what wir|we mit|with unseren|our Ohren|ears gehört|heard haben|hear
17:21	Und|and wo|what ist|is ein|a Volk|nation auf|on Erden|earth wie|as dein|your Volk|nation Israel|Israelites um|for welches|in-the willen|sake Gott|God hingegangen|[hingegangen] ist|go sich|himself ein|a Volk|nation zu|to erlösen|redeem und|and sich|himself selbst|itself einen|a Namen|name zu|to machen|put von|from großen|greatness und|and schrecklichen|[schrecklichen] Dingen|fear Heiden|nation auszustoßen|divorced vor|stringed instrument deinem|your Volk|nation her|here das|the du|you aus|stringed instrument Ägypten|Egypt erlöst|redeemed hast|redeem
17:22	Und|and du|you hast|have dir|you dein|your Volk|nation Israel|Israelites zum|as-a Volk|nation gemacht|put ewiglich|ever und|and du|you HERR|GOD bist|be thou ihr|you Gott|God geworden|become
17:23	Nun|henceforth HERR|GOD das|the Wort|word das|the du|you geredet|spoken hast|speak über|above deinen|your Knecht|servant und|and über|above sein|his Haus|household werde|will wahr|true ewiglich|ever und|and tue|make wie|as du|you geredet|spoken hast|speak
17:24	Und|and dein|your Name|name werde|will wahr|true und|and groß|magnify ewiglich|ever daß|that man|one sage|say Der|the HERR|GOD Zebaoth|host der|the Gott|God Israels|Israelites ist|is Gott|God in|in Israel|Israelites und|and das|the Haus|household deines|your Knechtes|servant David|David ist|is beständig|prepare vor|before dir|face
17:25	Denn|and du|you mein|my Gott|God hast|have das|the Ohr|[Ohr] deines|your Knechtes|servant geöffnet|uncover daß|that du|you ihm|him ein|a Haus|household bauen|build willst|build darum|above hat|has dein|your Knecht|servant Mut|[Mut] gefunden|find daß|that er|he vor|before dir|face betet|pray
17:26	Nun|henceforth HERR|GOD du|you bist|he Gott|God und|and hast|have solch|hereby (-in Gutes|good deinem|above Knecht|servant geredet|speak
17:27	Nun|henceforth hebe|lift an|content zu|to segnen|bless das|the Haus|household deines|your Knechtes|servant daß|that es|it ewiglich|ever sei|be thou vor|before dir|face denn|and was|what du|you HERR|GOD segnest|bless das|the ist|is gesegnet|bless ewiglich|ever
18:1	Nach|after diesem|prepare schlug|smite David|David die|the Philister|Philistine und|and demütigte|humble sie|they und|and nahm|take Gath|Gath und|and seine|his Ortschaften|daughter aus|stringed instrument der|the Philister|Philistine Hand|by
18:2	Auch|also schlug|smite er|he die|the Moabiter|Moab daß|that die|the Moabiter|Moab David|David untertänig|servant wurden|be thou und|and Geschenke|offering brachten|bear
18:3	Er|David schlug|smite auch|also Hadadeser|[Hadadeser] den|the König|royal zu|to Zoba|[Zoba] und|and Hamath|Hamath da|then er|he hinzog|go sein|his Zeichen|by aufzurichten|stand am|on-the Wasser|river Euphrat|Euphrates
18:4	Und|and David|David gewann|take ihm|him ab|stringed instrument tausend|thousand Wagen|chariot siebentausend|seven Reiter|horsemen und|and zwanzigtausend|twenty Mann|man zu|to Fuß|footman Und|and David|David verlähmte|hough alle|all (manner Rosse|[Rosse] der|the Wagen|chariot und|and behielt|leave hundert|hundred Wagen|chariot übrig|and-those
18:5	Und|and die|the Syrer|Arameans von|from Damaskus|Damascus kamen|came dem|the Hadadeser|[Hadadeser] dem|the König|royal zu|to Zoba|[Zoba] zu|to helfen|help Aber|but David|David schlug|smite der|the Syrer|Arameans zweiundzwanzigtausend|two Mann|man
18:6	und|David legte|put Volk|people in|in das|the Syrien|Aram von|from Damaskus|Damascus daß|that die|the Syrer|Arameans David|David untertänig|servant wurden|be thou und|and brachten|bear ihm|him Geschenke|offering Denn|for der|the HERR|GOD half|save David|David wo|where er|he hin|away zog|go
18:7	Und|and David|David nahm|take die|the goldenen|gold Schilde|shield die|the Hadadesers|[Hadadesers] Knechte|servant gehabt|had hatten|above und|and brachte|brought sie|they gen|to Jerusalem|Jerusalem
18:8	Auch|also nahm|take David|David aus|stringed instrument den|the Städten|town Hadadesers|[Hadadesers] Tibehath|[Tibehath] und|stringed instrument Chun|[Chun] sehr|very viel|many Erz|brass davon|from-which Salomo|Solomon das|the eherne|brass Meer|sea und|and die|the Säulen|pillar und|and eherne|brass Gefäße|vessel machte|make
18:9	Und|and da|then Thou|[Thou] der|the König|royal zu|to Hamath|Hamath hörte|hear daß|and David|David alle|all (manner Macht|army Hadadesers|[Hadadesers] des|of-the Königs|royal zu|to Zoba|[Zoba] geschlagen|fell hatte|smite
18:10	sandte|send er|he seinen|his Sohn|old Hadoram|Hadoram zum|as-a König|royal David|David und|and ließ|had ihn|peace grüßen|ask und|and segnen|bless daß|above er|he Hadadeser|[Hadadeser] geschlagen|fell hatte|smite denn|and Thou|[Thou] hatte|be thou einen|a Streit|war mit|with Hadadeser|[Hadadeser] und|and er|he hatte|had mit|with sich|himself allerlei|all (manner goldene|gold silberne|silver und|and eherne|brass Gefäße|vessel
18:11	Auch|also diese|these heiligte|sanctify der|the König|royal David|David dem|the HERRN|GOD mit|hide dem|the Silber|silver und|and Gold|gold das|the er|he den|stringed instrument Heiden|nation genommen|taken hatte|bear den|stringed instrument Edomitern|[Edomitern] Moabitern|Moab Ammonitern|old Philistern|Philistine und|stringed instrument Amalekitern|Amalek
18:12	Und|and Abisai|[Abisai] der|the Zeruja|[Zeruja] Sohn|old schlug|smite der|the Edomiter|Edomites im|in-the Salztal|valley achtzehntausend|eight
18:13	und|and legte|put Volk|garrison in|in Edom|Edom daß|that alle|all (manner Edomiter|Edomites David|David untertänig|servant waren|be thou Denn|for der|the HERR|GOD half|save David|David wo|where er|he hin|away zog|go
18:14	Also|so regierte|reign David|David über|above das|the ganze|all (manner Israel|Israelites und|and handhabte|be thou Gericht|judgment und|and Gerechtigkeit|righteousness allem|all (manner seinem|his Volk|nation
18:15	Joab|Joab der|the Zeruja|[Zeruja] Sohn|old war|was über|above das|the Heer|host Josaphat|Jehoshaphat der|the Sohn|old Ahiluds|[Ahiluds] war|was Kanzler|remember
18:16	Zadok|Zadok der|the Sohn|old Ahitobs|[Ahitobs] und|and Abimelech|Abimelech der|the Sohn|old Abjathars|[Abjathars] waren|were Priester|priest Sawsa|[Sawsa] war|was Schreiber|scribe
18:17	Benaja|Benaiah der|the Sohn|old Jojadas|Jehoiada war|was über|above die|the Krether|Cherethites und|and Plehter|[Plehter] und|and die|the Söhne|old Davids|David waren|were die|the Ersten|first zur|to-the Hand|by des|of-the Königs|royal
19:1	Und|and nach|after diesem|prepare starb|die Nahas|[Nahas] der|the König|royal der|the Kinder|old Ammon|Ammon und|and sein|his Sohn|old ward|was König|reign an|to seiner|his Statt|Toah
19:2	Da|then gedachte|remembered David|David Ich|I will|will Barmherzigkeit|mercy tun|make an|hide Hanon|Hanun dem|the Sohn|old des|of-the Nahas|[Nahas] denn|and sein|his Vater|father hat|has an|hide mir|me Barmherzigkeit|mercy getan|make Und|David sandte|send Boten|angel hin|away ihn|him zu|to trösten|comfort über|above seinen|his Vater|father Und|and da|then die|the Knechte|servant Davids|David ins|into-the Land|land der|the Kinder|old Ammon|Ammon kamen|came zu|to Hanon|Hanun ihn|him zu|to trösten|comfort
19:3	sprachen|said die|the Fürsten|prince der|the Kinder|old Ammon|Ammon zu|to Hanon|Hanun Meinst|thinks du|you daß|that David|David deinen|your Vater|father ehre|honour vor|before deinen|your Augen|eye daß|and er|he Tröster|comfort zu|to dir|you gesandt|sent hat|send Ja|yes seine|his Knechte|servant sind|are gekommen|come zu|to dir|you zu|to forschen|search und|and umzukehren|turn und|and zu|to erkunden|spy das|the Land|land
19:4	Da|then nahm|take Hanon|Hanun die|the Knechte|David Davids|servant und|and schor|shave sie|they und|and schnitt|make ihre|their Kleider|garments halb|half ab|make bis|until an|ever die|the Lenden|body und|and ließ|had sie|they gehen|send
19:5	Und|and etliche|some gingen|went hin|go und|and sagten|tell es|it David|David an|tell von|above den|the Männern|men Er|he aber|but sandte|send ihnen|them entgegen|meet denn|and die|the Männer|men waren|be thou sehr|very geschändet|ashamed Und|and der|the König|royal sprach|said Bleibet|dwell zu|to Jericho|Jericho bis|ever euer|your Bart|beard wachse|grow so|then kommt|comes dann|then wieder|return
19:6	Da|then aber|but die|the Kinder|old Ammon|Ammon sahen|see daß|and sie|they waren|were stinkend|odious geworden|become vor|hide David|David sandten|send sie|they hin|away beide|both Hanon|Hanun und|and die|the Kinder|old Ammon|Ammon tausend|thousand Zentner|talent Silber|silver Wagen|chariot und|and Reiter|horsemen zu|to dingen|hire aus|stringed instrument Mesopotamien|Paddan-Aram aus|stringed instrument dem|the Syrien|Aram von|from Maacha|Maachah und|and aus|stringed instrument Zoba|[Zoba]
19:7	Und|and dingten|hire zweiunddreißigtausend|two Wagen|chariot und|and den|the König|royal von|from Maacha|Maachah mit|with seinem|his Volk|nation die|the kamen|came und|and lagerten|[lagerten] sich|pitch vor|face Medeba|Medeba Und|and die|the Kinder|old Ammon|Ammon sammelten|gathered sich|himself aus|stringed instrument ihren|their Städten|town und|and kamen|came zum|as-a Streit|war
19:8	Da|then das|the David|David hörte|hear sandte|sent er|send hin|away Joab|Joab mit|with dem|the ganzen|all (manner Heer|host der|the Helden|mighty
19:9	Die|the Kinder|old Ammon|Ammon aber|but waren|were ausgezogen|bring und|and rüsteten|drew-up sich|array zum|as-a Streit|war vor|before der|the Stadt|town Tor|door Die|the Könige|royal aber|but die|the gekommen|come waren|were hielten|held im|in-the Felde|field besonders|separately
19:10	Da|then nun|now Joab|Joab sah|see daß|and vorn|face und|and hinter|behind ihm|him Streit|face wider|against ihn|him war|be thou erwählte|chose er|he aus|stringed instrument aller|all (manner jungen|young Mannschaft|[Mannschaft] in|in Israel|Israelites und|and stellte|presented sich|array gegen|meet die|the Syrer|Arameans
