1:1	Paulus|Paul ein|a Knecht|servant Jesu|Jesus Christi|Christ berufen|called zum|as-a Apostel|[Apostel] ausgesondert|[ausgesondert] zu|into predigen|call das|the Evangelium|gospel Gottes|god
9:6	Aber|but nicht|no sage|say ich|I solches|this als|as ob|and Gottes|god Wort|word darum|therefore aus|from sei|fall Denn|and es|it sind|are nicht|no alle|all Israeliter|Israel die|which von|from Israel|Israel sind|Israel
9:7	auch|also nicht|neither alle|all die|the Abrahams|Abraham's Same|seed sind|are sind|are darum|therefore auch|also Kinder|child Sondern|but “|[“] in|by Isaak|Isaac soll|call dir|thee der|the Same|seed genannt|called sein|call ”|[”]
9:8	Das|that is ist|is nicht|no sind|are das|the Gottes|god Kinder|child die|these nach|after dem|the Fleisch|flesh Kinder|sons sind|child sondern|but die|the Kinder|child der|the Verheißung|promise werden|think für|into Samen|seed gerechnet|think
9:9	Denn|and dies|this ist|is ein|a Wort|word der|the Verheißung|promise da|then er|he spricht|it-is-said “|[“] Um|after diese|this Zeit|time will|will ich|I kommen|come und|also Sara|Sarah soll|be einen|a Sohn|son haben|be ”|[”]
9:10	Nicht|no allein|only aber|and ist|is s|[s] mit|of dem|one also|so sondern|but auch|also da|then Rebekka|Rebecca von|from dem|the einen|have unserm|our Vater|Father Isaak|Isaac schwanger|pregnant ward|bed
9:11	ehe|not yet die|the Kinder|sons geboren|born waren|begat und|and weder|neither Gutes|good noch|or Böses|evil getan|done hatten|do auf|on daß|that der|the Vorsatz|purpose Gottes|god bestünde|abide nach|after der|the Wahl|election
9:12	nicht|no aus|of Verdienst|[Verdienst] der|the Werke|work sondern|but aus|of Gnade|favor des|of-the Berufers|call ward|speak zu|to ihr|you gesagt|speak “Der|[“Der] Ältere|greater soll|shall dienstbar|[dienstbar] werden|serve dem|the Jüngeren|worse ”|[”]
9:13	wie|as denn|for geschrieben|[geschrieben] steht|write “|[“] Jakob|Jacob habe|have ich|I geliebt|[geliebt] aber|and Esau|Esau habe|have ich|I gehaßt|hate ”|[”]
9:14	Was|what wollen|say wir|we denn|therefore hier|here sagen|say Ist|is denn|of Gott|god ungerecht|[ungerecht] Das|the sei|be ferne|not
9:15	Denn|and er|he spricht|speak zu|to Mose|Moses “|[“] Welchem|which ich|I gnädig|for bin|have compassion dem|the bin|am ich|I gnädig|have compassion und|also welches|which ich|I mich|me erbarme|have compassion on. oikte r des|of-the erbarme|[erbarme] ich|I mich|have compassion on. oikte r ”|[”]
9:16	So|then liegt|lies es|it nun|therefore nicht|no an|to jemandes|[jemandes] Wollen|desire oder|neither Laufen|run sondern|but an|to Gottes|god Erbarmen|have compassion
9:17	Denn|and die|the Schrift|scripture sagt|speak zum|as-a Pharao|Pharaoh “|[“] Ebendarum|that habe|raise up ich|I dich|thee erweckt|raise up daß|that ich|I an|by dir|thee meine|my Macht|power erzeige|show auf|on daß|that mein|my Name|name verkündigt|reveals werde|preach in|by allen|all Landen|earth ”|[”]
9:18	So|then erbarmt|[erbarmt] er|he sich|have compassion nun|now welches|which er|he will|desire und|and verstockt|harden welchen|which er|he will|desire
9:19	So|therefore sagst|say du|you zu|to mir|me Was|what beschuldigt|find fault. m mphomai er|he uns|us denn|yet Wer|what kann|can seinem|his Willen|purpose widerstehen|[widerstehen]
9:20	Ja|nay but lieber|O Mensch|man wer|what bist|be du|thou denn|for daß|that du|you mit|with Gott|god rechten|right willst|will Spricht|say auch|also ein|a Werk|thing formed zu|to seinem|his Meister|form Warum|what machst|do du|you mich|me also|so
9:21	Hat|have nicht|no ein|a Töpfer|potter Macht|power aus|of einem|a Klumpen|clay zu|which machen|do ein|a Gefäß|vessel zu|into Ehren|honour und|and das|the andere|which zu|into Unehren|[Unehren]
9:22	Derhalben|and da|if Gott|god wollte|desire Zorn|wrath erzeigen|show und|also kundtun|declare seine|his Macht|possible hat|bring er|he mit|by großer|many Geduld|longsuffering getragen|bring die|the Gefäße|vessel des|of-the Zorns|wrath die|the da|then zugerichtet|made sind|perfect zur|into Verdammnis|[Verdammnis]
9:23	auf|also daß|that er|he kundtäte|declare den|the Reichtum|riches seiner|his Herrlichkeit|glory an|on den|the Gefäßen|vessel der|the Barmherzigkeit|mercy die|which er|he bereitet|[bereitet] hat|ordain before zur|into Herrlichkeit|glory
9:24	welche|which er|he berufen|[berufen] hat|call nämlich|also uns|us nicht|no allein|only aus|of den|the Juden|Jew sondern|but auch|also aus|of den|the Heiden|Gentiles
9:25	Wie|as er|he denn|for auch|also durch|by Hosea|Osee spricht|speak “Ich|[“Ich] will|call das|the mein|my Volk|people heißen|call daß|that nicht|no mein|my Volk|people war|was und|also meine|my Liebe|my die|the nicht|no meine|my Liebe|my war|was ”|[”]
9:26	“|[“] Und|also soll|shall geschehen|be An|by dem|the Ort|place da|where zu|to ihnen|them gesagt|said ward|speak ‘|[‘] Ihr|ye seid|are nicht|no mein|my Volk|people ’|[’] sollen|call sie|they Kinder|son des|of-the lebendigen|live Gottes|god genannt|called werden|call ”|[”]
9:27	Jesaja|Esaias aber|and schreit|cry für|for Israel|Israel “|[“] Wenn|if die|the Zahl|[Zahl] der|the Kinder|son Israel|Israel würde|would sein|be wie|as der|the Sand|sand am|on-the Meer|sea so|then wird|save doch|please nur|only der|the Überrest|remnant selig|happy werden|save
9:28	denn|and es|it wird|will ein|a Verderben|end und|also Steuern|word geschehen|end zur|by Gerechtigkeit|righteousness und|that der|the HERR|Lord wird|do das|the Steuern|short tun|do auf|on Erden|earth ”|[”]
9:29	Und|also wie|as Jesaja|Esaias zuvorsagte|foretell “|[“] Wenn|but uns|us nicht|but der|the HERR|Lord Zebaoth|sabaoth hätte|had lassen|forsake Samen|seed übrig|and-those bleiben|forsake so|then wären|were wir|we wie|as Sodom|Sodom und|also Gomorra|Gomorrha ”|[”]
9:30	Was|what wollen|say wir|we nun|therefore hier|here sagen|say Das|the wollen|will wir|we sagen|that Die|the Heiden|Gentiles die|which nicht|not haben|persecute nach|after der|the Gerechtigkeit|righteousness getrachtet|persecute haben|take Gerechtigkeit|righteousness erlangt|take ich|I sage|say aber|and von|from der|the Gerechtigkeit|righteousness die|which aus|of dem|the Glauben|faith kommt|of
9:31	Israel|Israel aber|and hat|persecute dem|the Gesetz|law der|the Gerechtigkeit|righteousness nachgetrachtet|persecute und|and hat|come das|the Gesetz|law der|the Gerechtigkeit|righteousness nicht|no erreicht|come
9:32	Warum|why das|the Darum|therefore daß|that sie|they es|it nicht|no aus|of dem|the Glauben|faith sondern|but aus|as den|the Werken|work des|of-the Gesetzes|law suchen|[suchen] Denn|and sie|they haben|have sich|himself gestoßen|stumble an|to den|the Stein|stone des|of-the Anlaufens|stone
9:33	wie|as geschrieben|[geschrieben] steht|write “|[“] Siehe|behold da|then ich|I lege|lay in|by Zion|Sion einen|a Stein|stone des|of-the Anlaufens|stone und|also einen|a Fels|rock des|of-the Ärgernisses|offence und|also wer|all an|on ihn|him glaubt|believe der|the soll|ashamed nicht|no zu|to Schanden|[Schanden] werden|ashamed ”|[”]
10:1	Liebe|my Brüder|brothers meines|my Herzens|heart Wunsch|desire ist|is und|also ich|I flehe|prayer auch|also zu|unto Gott|god für|for Israel|Israel daß|indeed sie|they selig|happy werden|salvation
10:2	Denn|and ich|I gebe|testify ihnen|them das|the Zeugnis|testify daß|that sie|they eifern|have um|for Gott|god aber|but mit|after Unverstand|no
10:3	Denn|and sie|they erkennen|know die|the Gerechtigkeit|righteousness nicht|not die|the vor|before Gott|god gilt|[gilt] und|also trachten|seek ihre|their eigene|privately Gerechtigkeit|righteousness aufzurichten|stand und|and sind|be under obedience also|so der|the Gerechtigkeit|righteousness die|the vor|before Gott|god gilt|[gilt] nicht|no untertan|be under obedience
10:4	Denn|and Christus|Christ ist|is des|of-the Gesetzes|law Ende|end wer|all an|to den|the glaubt|believe der|the ist|is gerecht|righteousness
10:5	Mose|Moses schreibt|write wohl|well von|from der|the Gerechtigkeit|righteousness die|which aus|of dem|the Gesetz|law kommt|of “|[“] Welcher|that Mensch|man dies|this tut|do der|the wird|live dadurch|by leben|live ”|[”]
10:6	Aber|and die|the Gerechtigkeit|righteousness aus|of dem|the Glauben|faith spricht|speak also|so “|[“] Sprich|say nicht|not in|by deinem|thy Herzen|heart Wer|what will|will hinauf|up gen|into Himmel|heaven fahren|go ”|[”] Das|this ist|that is nichts|nothing anderes|other denn|for Christum|Christ herabholen|land
10:7	Oder|or “|[“] Wer|what will|will hinab|descend in|into die|the Tiefe|deep fahren|descend ”|[”] Das|this ist|that is nichts|nothing anderes|other denn|for Christum|Christ von|of den|the Toten|dead holen|brought
10:8	Aber|but was|what sagt|say sie|speak “Das|[“Das] Wort|word ist|is dir|thy nahe|nigh in|by deinem|thy Munde|mouth und|also in|by deinem|thy Herzen|heart ”|[”] Dies|this ist|that is das|the Wort|word vom|from-the Glauben|faith das|which wir|we predigen|preach
10:9	Denn|that so|if du|you mit|by deinem|thy Munde|mouth bekennst|confess Jesum|Jesus daß|that er|he der|the HERR|Lord sei|be und|also glaubst|believe in|by deinem|thy Herzen|heart daß|that ihn|him Gott|god von|of den|the Toten|dead auferweckt|[auferweckt] hat|rise so|then wirst|will du|you selig|save
10:10	Denn|and so|then man|one von|from Herzen|heart glaubt|believe so|into wird|will man|one gerecht|righteousness und|and so|then man|one mit|with dem|the Munde|mouth bekennt|confess so|into wird|will man|one selig|salvation
10:11	Denn|and die|the Schrift|scripture spricht|speak “|[“] Wer|all an|on ihn|him glaubt|believe wird|ashamed nicht|no zu|to Schanden|[Schanden] werden|ashamed ”|[”]
10:12	Es|and ist|is hier|here kein|no Unterschied|difference unter|and Juden|Jew und|also Griechen|Greek es|it ist|is aller|into zumal|[zumal] ein|a HERR|Lord reich|rich über|over alle|all die|the ihn|him anrufen|call
10:13	Denn|all “|[“] wer|which den|the Namen|name des|of-the HERRN|Lord wird|will anrufen|call soll|shall selig|happy werden|save ”|[”]
10:14	Wie|how sollen|call sie|they aber|therefore den|the anrufen|call an|into den|which sie|they nicht|no glauben|believe Wie|how sollen|believe sie|they aber|and an|believe den|the glauben|believe von|from dem|which sie|they nichts|no gehört|heard haben|have wie|how sollen|shall sie|they aber|and hören|hears ohne|without Prediger|preach
10:15	Wie|how sollen|preach sie|they aber|and predigen|preach wo|except sie|they nicht|except gesandt|sent werden|be Wie|as denn|for geschrieben|[geschrieben] steht|write “|[“] Wie|as lieblich|beautiful sich|himself die|the Füße|feet derer|foot die|the den|the Frieden|peace verkündigen|preach die|the das|the Gute|good verkündigen|preach ”|[”]
10:16	Aber|but sie|they sind|obey nicht|no alle|all dem|the Evangelium|gospel gehorsam|obey Denn|and Jesaja|Esaias sagt|speak “|[“] HERR|Lord wer|what glaubt|believe unserm|our Predigen|call ”|[”]
10:17	So|then kommt|comes der|the Glaube|faith aus|of der|the Predigt|[Predigt] das|the Predigen|call aber|and aus|by dem|the Wort|word Gottes|god
10:18	Ich|I sage|speak aber|but Haben|have sie|they es|it nicht|not gehört|heard Wohl|nay but es|it ist|come ja|yes in|into alle|all Lande|earth ausgegangen|come ihr|you Schall|sound und|also in|into alle|end Welt|world ihre|their Worte|word
10:19	Ich|I sage|speak aber|but Hat|know es|it Israel|Israel nicht|not erkannt|know Aufs|to-the erste|first spricht|speak Mose|Moses “|[“] Ich|I will|provoke to emulation euch|you eifern|[eifern] machen|provoke to emulation über|on dem|the das|the nicht|no ein|a Volk|Gentiles ist|is und|and über|on ein|a unverständiges|[unverständiges] Volk|Gentiles will|anger ich|I euch|you erzürnen|anger ”|[”]
10:20	Jesaja|Esaias aber|and darf|[darf] wohl|well so|also sagen|speak “Ich|[“Ich] bin|am gefunden|find von|from denen|them die|the mich|me nicht|not gesucht|[gesucht] haben|seek und|and bin|be erschienen|manifest denen|them die|the nicht|not nach|ask mir|me gefragt|[gefragt] haben|ask ”|[”]
10:21	Zu|unto Israel|Israel aber|and spricht|speak er|he “Den|[“Den] ganzen|all Tag|day habe|stretch forth ich|I meine|my Hände|hand ausgestreckt|stretch forth zu|unto dem|the Volk|people das|the sich|himself nicht|not sagen|say läßt|let und|also widerspricht|[widerspricht] ”|[”]
11:1	So|then sage|speak ich|I nun|therefore Hat|has denn|for Gott|god sein|his Volk|people verstoßen|[verstoßen] Das|the sei|be ferne|not Denn|and ich|I bin|am auch|also ein|a Israeliter|Israel von|of dem|the Samen|seed Abrahams|Abraham's aus|from dem|the Geschlecht|tribe Benjamin|Benjamin
11:2	Gott|god hat|has sein|his Volk|people nicht|no verstoßen|[verstoßen] welches|which er|he zuvor|former ersehen|seen hat|foreknow Oder|or wisset|know ihr|know nicht|no was|what die|the Schrift|scripture sagt|speak von|by Elia|Elias wie|as er|he tritt|deal vor|before Gott|god wider|after Israel|Israel und|and spricht|speak
11:3	“|[“] HERR|Lord sie|they haben|have deine|thy Propheten|prophet getötet|[getötet] und|also deine|thy Altäre|altar zerbrochen|ruin und|and ich|I bin|leave allein|only übriggeblieben|leave und|also sie|they stehen|seek mir|me nach|seek meinem|my Leben|soul ”|[”]
11:4	Aber|but was|what sagt|speak die|the göttliche|answer of God Antwort|word “Ich|[“Ich] habe|leave mir|myself lassen|let übrig|and-those bleiben|leave siebentausend|seven thousand Mann|man die|which nicht|no haben|bow ihre|their Kniee|knee gebeugt|bow vor|before dem|the Baal|[Baal] ”|[”]
11:5	Also|so gehet|go es|it auch|also jetzt|was-giving-birth zu|by dieser|now Zeit|time mit|with diesen|this die|the übriggeblieben|remnant sind|be nach|after der|the Wahl|election der|the Gnade|grace
11:6	Ist|is s|[s] aber|and aus|from Gnaden|grace so|if ist|is s|[s] nicht|yet aus|from Verdienst|[Verdienst] der|of Werke|work sonst|because würde|be Gnade|grace nicht|yet Gnade|grace sein|be Ist|is s|[s] aber|and aus|of Verdienst|work der|the Werke|works so|if ist|is die|the Gnade|grace nichts|yet sonst|because wäre|is Verdienst|work nicht|yet Verdienst|work
11:7	Wie|what denn|therefore nun|now Was|which Israel|Israel sucht|seek das|this erlangte|obtain es|it nicht|no die|the Auserwählten|election aber|and erlangten|obtain es|it Die|the andern|other sind|are verstockt|harden
11:8	wie|as geschrieben|[geschrieben] steht|write “|[“] Gott|god hat|give ihnen|them gegeben|give eine|a Geist|Spirit des|of-the Schlafs|slumber Augen|eye daß|that sie|they nicht|not sehen|see und|also Ohren|ear daß|that sie|they nicht|not hören|hears bis|until auf|till den|the heutigen|thisday Tag|day ”|[”]
11:9	Und|also David|David spricht|speak “|[“] Laß|be ihren|their Tisch|table zu|to einem|a Strick|into werden|be und|also zu|to einer|one Berückung|into und|also zum|as-a Ärgernis|into und|also ihnen|them zur|to-the Vergeltung|into
11:10	Verblende|darken ihre|their Augen|eye daß|that sie|they nicht|not sehen|see und|also beuge|bow down ihren|their Rücken|back allezeit|always ”|[”]
11:11	So|then sage|speak ich|I nun|therefore Sind|offend sie|they darum|not angelaufen|offend daß|that sie|they fallen|bow sollten|fall Das|the sei|be ferne|not Sondern|but aus|from ihrem|her Fall|trespass ist|is den|the Heiden|Gentiles das|the Heil|salvation widerfahren|[widerfahren] auf|on daß|into sie|they denen|them nacheifern|[nacheifern] sollten|provoke to emulation
11:12	Denn|and so|if ihr|you Fall|trespass der|the Welt|world Reichtum|riches ist|is und|also ihr|you Schade|diminishing ist|is der|the Heiden|Gentiles Reichtum|riches wie|what viel|many mehr|more wenn|when ihre|their Zahl|[Zahl] voll|fulness würde|would
11:13	Mit|with euch|you Heiden|Gentiles rede|speak ich|I denn|and dieweil|on ich|I der|the Heiden|Gentiles Apostel|[Apostel] bin|am will|glorify ich|I mein|my Amt|ministry preisen|glorify
11:14	ob|if by any means ich|I möchte|provoke to emulation die|the so|then mein|my Fleisch|flesh sind|are zu|to eifern|[eifern] reizen|provoke to emulation und|also ihrer|of etliche|certain selig|happy machen|save
11:15	Denn|and so|if ihre|their Verwerfung|[Verwerfung] der|the Welt|world Versöhnung|reconciliation ist|is was|what wird|will ihre|their Annahme|receiving anders|but sein|his als|but Leben|life von|of den|the Toten|dead
11:16	Ist|and der|the Anbruch|[Anbruch] heilig|awesome so|if ist|is auch|also der|the Teig|lump heilig|awesome und|also so|if die|the Wurzel|root heilig|awesome ist|is so|also sind|are auch|also die|the Zweige|branch heilig|awesome
11:17	Ob|whether aber|and nun|now etliche|whosoever von|from den|the Zweigen|branch ausgebrochen|[ausgebrochen] sind|break off und|and du|thou da|then du|you ein|a wilder|wild Ölbaum|[Ölbaum] warst|being bist|graff unter|by sie|they gepfropft|graff und|also teilhaftig|partaker geworden|be der|the Wurzel|root und|also des|of-the Safts|fatness im|in-the Ölbaum|olives
11:18	so|then rühme|glory dich|you nicht|not wider|glory die|the Zweige|branch Rühmst|glory du|you dich|you aber|and wider|against sie|they so|if sollst|shall du|you wissen|know daß|that du|thou die|the Wurzel|root nicht|no trägst|[trägst] sondern|but die|the Wurzel|root trägt|[trägt] dich|thee
11:19	So|then sprichst|say du|you Die|the Zweige|branch sind|are ausgebrochen|break off das|that ich|I hineingepfropft|[hineingepfropft] würde|graff
11:20	Ist|is wohl|well geredet|spoken Sie|they sind|are ausgebrochen|break off um|for ihres|her Unglaubens|[Unglaubens] willen|sake du|thou stehst|stand aber|and durch|through den|the Glauben|faith Sei|be highminded nicht|not stolz|be highminded sondern|but fürchte|fear dich|you
11:21	Hat|and Gott|god die|the natürlichen|nature Zweige|branch nicht|no verschont|spare daß|if er|he vielleicht|perhaps dich|thy auch|lest nicht|perhaps verschone|spare
11:22	Darum|therefore schau|know die|the Güte|goodness und|also den|the Ernst|[Ernst] Gottes|god den|the Ernst|[Ernst] an|on denen|them die|the gefallen|subsided sind|fall die|the Güte|goodness aber|and an|on dir|thee sofern|if du|you an|to der|the Güte|goodness bleibst|tarry sonst|because wirst|cut down(off du|thou auch|also abgehauen|[abgehauen] werden|cut down(off
11:23	Und|and jene|that so|then nicht|except bleiben|tarry in|in dem|the Unglauben|[Unglauben] werden|be eingepfropft|[eingepfropft] werden|graff Gott|god kann|is sie|they wohl|well wieder|again einpfropfen|graff
11:24	Denn|and so|if du|thou aus|of dem|the Ölbaum|[Ölbaum] der|the von|after Natur|nature aus|from wild|[wild] war|cut down(off bist|are abgehauen|graff und|and wider|of die|the Natur|nature in|into den|the guten|good Ölbaum|good olive tree gepropft|[gepropft] wie|as viel|what mehr|more werden|be die|this natürlichen|after eingepropft|[eingepropft] in|graff ihren|their eigenen|privately Ölbaum|olives
11:25	Ich|and will|desire euch|you nicht|no verhalten|[verhalten] liebe|my Brüder|brothers dieses|this Geheimnis|mystery auf|on daß|lest ihr|you nicht|lest stolz|wise seid|be Blindheit|blindness ist|be Israel|Israel zum|as-a Teil|part widerfahren|be so|then lange|long bis|until die|the Fülle|fulness der|the Heiden|Gentiles eingegangen|come sei|enter
11:26	und|also also|so das|the ganze|all Israel|Israel selig|happy werde|save wie|as geschrieben|[geschrieben] steht|write “Es|[“Es] wird|will kommen|come aus|of Zion|Sion der|the da|then erlöse|deliver und|also abwende|[abwende] das|the gottlose|wicked Wesen|thing von|from Jakob|Jacob
11:27	Und|also dies|this ist|is mein|of Testament|covenant mit|with ihnen|them wenn|when ich|I ihre|their Sünden|sins werde|will wegnehmen|[wegnehmen] ”|[”]
11:28	Nach|after dem|the Evangelium|gospel sind|are sie|they zwar|[zwar] Feinde|enemy um|for euretwillen|by aber|and nach|after der|the Wahl|election sind|are sie|they Geliebte|[Geliebte] um|by der|the Väter|Father willen|by
11:29	Gottes|god Gaben|gift und|also Berufung|calling können|can ihn|him nicht|not gereuen|[gereuen]
11:30	Denn|and gleicherweise|[gleicherweise] wie|as auch|also ihr|ye weiland|sometimes nicht|not habt|have geglaubt|[geglaubt] an|to Gott|god nun|now aber|and Barmherzigkeit|kindness überkommen|[überkommen] habt|have compassion durch|these ihren|their Unglauben|[Unglauben]
11:31	also|so haben|have auch|also jene|this jetzt|now nicht|not wollen|will glauben|believe an|to die|the Barmherzigkeit|mercy die|the euch|your widerfahren|[widerfahren] ist|is auf|on daß|that sie|they auch|also Barmherzigkeit|kindness überkommen|have compassion
11:32	Denn|and Gott|god hat|conclude alle|all beschlossen|conclude unter|into den|the Unglauben|[Unglauben] auf|on daß|that er|he sich|himself aller|all erbarme|have compassion
11:33	O|O welch|[welch] eine|a Tiefe|deep des|of-the Reichtums|riches beides|also der|the Weisheit|wisdom und|also Erkenntnis|knowledge Gottes|god Wie|as gar|very unbegreiflich|[unbegreiflich] sind|are sein|his Gerichte|judgment und|also unerforschlich|[unerforschlich] seine|his Wege|way
11:34	Denn|and wer|what hat|know des|of-the HERRN|Lord Sinn|mind erkannt|know oder|or wer|what ist|be sein|his Ratgeber|[Ratgeber] gewesen|be
11:35	Oder|or wer|what hat|firstgive ihm|him etwas|anything zuvor|former gegeben|firstgive daß|also ihm|him werde|will wiedervergolten|[wiedervergolten]
11:36	Denn|that von|of ihm|him und|also durch|by ihn|him und|also zu|into ihm|him sind|are alle|all Dinge|all Ihm|him sei|be Ehre|glory in|into Ewigkeit|[Ewigkeit] Amen|[Amen]
12:1	Ich|I ermahne|beseech euch|you nun|therefore liebe|my Brüder|brothers durch|by die|the Barmherzigkeit|mercy Gottes|god daß|that ihr|you eure|your Leiber|body begebet|present zum|as-a Opfer|sacrifice das|the da|then lebendig|live heilig|awesome und|and Gott|god wohlgefällig|acceptably sei|be welches|in-the sei|be euer|your vernünftiger|reasonable Gottesdienst|service
12:2	Und|also stellet|conform to euch|you nicht|not dieser|this Welt|earth gleich|conform to sondern|but verändert|transfigure euch|you durch|through die|the Erneuerung|[Erneuerung] eures|your Sinnes|mind auf|on daß|into ihr|you prüfen|test möget|prove welches|what da|then sei|be der|the gute|good wohlgefällige|acceptably und|also vollkommene|perfect Gotteswille|will
12:3	Denn|and ich|I sage|say euch|you durch|by die|the Gnade|grace die|the mir|me gegeben|given ist|give jedermann|all unter|by euch|you daß|that niemand|not weiter|of von|from sich|himself halte|think more highly als|when sich|himself s|[s] gebührt|must zu|to halten|think sondern|but daß|that er|he von|from sich|himself mäßig|into halte|think ein|a jeglicher|every nach|as dem|the Gott|god ausgeteilt|[ausgeteilt] hat|divide das|the Maß|measure des|of-the Glaubens|faith
12:4	Denn|and gleicherweise|[gleicherweise] als|as wir|we in|by einem|one Leibe|body viele|many Glieder|member haben|have aber|and alle|all Glieder|member nicht|no einerlei|one Geschäft|deed haben|have
12:5	also|so sind|are wir|we viele|many ein|one Leib|body in|by Christus|Christ aber|and untereinander|after ist|is einer|one des|of-the andern|another Glied|member
12:6	und|and haben|have mancherlei|differing Gaben|gift nach|after der|the Gnade|grace die|the uns|us gegeben|given ist|give
12:7	Hat|has jemand|or Weissagung|prophecy so|then sei|be sie|they dem|the Glauben|faith gemäß|after Hat|has jemand|someone ein|a Amt|ministry so|then warte|watchtower er|he des|by Amts|ministry Lehrt|teach jemand|someone so|then warte|watchtower er|he der|by Lehre|doctrine
12:8	Ermahnt|beseech jemand|someone so|then warte|watchtower er|he des|by Ermahnens|consolation Gibt|impart jemand|someone so|then gebe|give er|he einfältig|by Regiert|rule jemand|someone so|then sei|be er|he sorgfältig|by Übt|[Übt] jemand|someone Barmherzigkeit|have compassion so|then tue|do er|he s|[s] mit|by Lust|delighted
12:9	Die|the Liebe|my sei|be nicht|not falsch|[falsch] Hasset|[Hasset] das|the Arge|evil hanget|cleave dem|the Guten|good an|cleave
12:10	Die|the brüderliche|[brüderliche] Liebe|brotherly love untereinander|into sei|be herzlich|kindly affectioned Einer|one komme|prefer dem|the andern|another mit|with Ehrerbietung|honour zuvor|prefer
12:11	Seid|slothful nicht|not träge|slothful in|in dem|the was|what ihr|you tun|diligence sollt|shall Seid|are brünstig|fervent im|in-the Geiste|Spirit Schicket|serve euch|you in|in die|the Zeit|time
12:12	Seid|are fröhlich|rejoice in|in Hoffnung|hope geduldig|endure in|in Trübsal|tribulation haltet|delay an|continue am|on-the Gebet|prayer
12:13	Nehmet|communicate euch|you der|the Notdurft|need der|the Heiligen|[Heiligen] an|communicate Herberget|persecute gern|hospitality
12:14	Segnet|bless die|the euch|you verfolgen|persecute segnet|bless und|also fluchet|curse nicht|not
12:15	Freut|rejoice euch|you mit|with den|the Fröhlichen|rejoice und|also weint|weep mit|with den|the Weinenden|weep
12:16	Habt|have einerlei|one Sinn|think untereinander|into Trachtet|think nicht|not nach|after hohen|high Dingen|high sondern|but haltet|condescend euch|you herunter|condescend zu|to den|the Niedrigen|humble
12:17	Haltet|be euch|you nicht|not selbst|of für|for klug|wise Vergeltet|[Vergeltet] niemand|nothing Böses|evil mit|with Bösem|evil Fleißigt|provide euch|you der|the Ehrbarkeit|good gegen|before jedermann|all
12:18	Ist|if es|it möglich|possible soviel|full-price an|of euch|your ist|is so|then habt|be at (have mit|with allen|all Menschen|man Frieden|be at (have
12:19	Rächet|avenge euch|you selber|himself nicht|not meine|my Liebsten|[Liebsten] sondern|but gebet|give Raum|place dem|the Zorn|wrath Gottes|of-God denn|and es|it steht|is geschrieben|write “Die|[“Die] Rache|vengeance ist|is mein|me ich|I will|will vergelten|repay spricht|speak der|the HERR|Lord ”|[”]
12:20	So|if nun|therefore deinen|thy Feind|enemy hungert|hunger so|then speise|feed ihn|him dürstet|thirst ihn|him so|if tränke|water ihn|him Wenn|this du|you das|the tust|do so|then wirst|heap du|you feurige|fire Kohlen|[Kohlen] auf|on sein|his Haupt|head sammeln|heap
12:21	Laß|overcome dich|you nicht|not das|of Böse|evil überwinden|overcome sondern|but überwinde|overcome das|the Böse|evil mit|by Gutem|good
13:1	Jedermann|all sei|be untertan|be under obedience der|the Obrigkeit|power die|the Gewalt|power über|over ihn|him hat|higher Denn|and es|it ist|is keine|no Obrigkeit|power ohne|but von|from Gott|god wo|where aber|and Obrigkeit|power ist|being die|the ist|are von|of Gott|god verordnet|appoint
13:2	Wer|who sich|himself nun|wherefore der|the Obrigkeit|power widersetzt|[widersetzt] der|the widerstrebt|[widerstrebt] Gottes|god Ordnung|disposition die|the aber|and widerstreben|[widerstreben] werden|receive über|over sich|himself ein|a Urteil|judgment empfangen|receive
13:3	Denn|and die|the Gewaltigen|[Gewaltigen] sind|are nicht|no den|the guten|good Werken|work sondern|but den|the bösen|evil zu|to fürchten|fear Willst|will du|desire dich|you aber|and nicht|not fürchten|fear vor|before der|the Obrigkeit|power so|then tue|do Gutes|good so|also wirst|have du|you Lob|praise von|of ihr|you haben|have
13:4	Denn|and sie|they ist|is Gottes|god Dienerin|minister dir|thee zu|into gut|good Tust|do du|you aber|and Böses|evil so|if fürchte|fear dich|fear denn|and sie|they trägt|bear das|the Schwert|sword nicht|no umsonst|vainly sie|they ist|is Gottes|god Dienerin|minister eine|a Rächerin|avenger zur|to-the Strafe|wrath über|into den|the der|the Böses|evil tut|do
13:5	Darum|wherefore ist|is s|[s] not|not untertan|subject zu|to sein|be under obedience nicht|no allein|only um|by der|the Strafe|wrath willen|by sondern|but auch|also um|for des|of-the Gewissens|conscience willen|by
13:6	Derhalben|this müßt|finish ihr|you auch|also Schoß|tribute geben|finish denn|and sie|they sind|are Gottes|god Diener|minister die|into solchen|such Schutz|this handhaben|continue
13:7	So|then gebet|[gebet] nun|therefore jedermann|all was|what ihr|you schuldig|[schuldig] seid|debt Schoß|tribute dem|which der|the Schoß|tribute gebührt|[gebührt] Zoll|end dem|which der|the Zoll|end gebührt|fear Furcht|fear dem|which die|the Furcht|fear gebührt|[gebührt] Ehre|honour dem|which die|the Ehre|honour gebührt|[gebührt]
13:8	Seid|ought niemand|nothing nichts|nothing schuldig|ought als|when daß|but ihr|you euch|you untereinander|to-one-another liebt|[liebt] denn|and wer|who den|the andern|another liebt|[liebt] der|the hat|fulfil das|the Gesetz|law erfüllt|fulfil
