1:1	Am|on-the Anfang|beginning schuf|create Gott|God Himmel|heaven und|and Erde|earth
28:3	Aber|but der|the allmächtige|Almighty Gott|God segne|bless dich|you und|and mache|make dich|you fruchtbar|fruitful und|and mehre|multiply dich|you daß|that du|you werdest|become ein|a Haufe|congregation Völker|nation
28:4	und|and gebe|put dir|you den|the Segen|blessing Abrahams|Abraham's dir|you und|and deinem|your Samen|seed mit|with dir|you daß|that du|you besitzest|possess das|the Land|land darin|in-it du|you ein|a Fremdling|pilgrimage bist|are das|the Gott|God Abraham|Abraham gegeben|given hat|put
28:5	Also|so fertigte|send Isaak|Isaac den|the Jakob|Jacob ab|send daß|that er|he nach|after Mesopotamien|Padanaram zog|go zu|to Laban|Laban Bethuels|Bethuel Sohn|old in|in Syrien|Aram dem|the Bruder|brother Rebekkas|Rebekah seiner|Jacob und|and Esaus|Esau Mutter|mother
28:6	Als|when nun|now Esau|Esau sah|see daß|that Isaak|Isaac Jakob|Jacob gesegnet|blessed hatte|bless und|and abgefertigt|send nach|after Mesopotamien|Padanaram daß|that er|he daselbst|there ein|a Weib|wife nähme|take und|and daß|that er|he indem|while er|he ihn|him segnete|bless ihm|him gebot|command und|and sprach|said Du|you sollst|shall nicht|not ein|a Weib|wife nehmen|take von|from den|the Töchtern|daughter Kanaans|Canaan
28:7	und|and daß|that Jakob|Jacob seinem|his Vater|father und|and seiner|his Mutter|mother gehorchte|hear und|and nach|after Mesopotamien|Padanaram zog|go
28:8	sah|see auch|also daß|that Isaak|Isaac sein|his Vater|father nicht|not gerne|evil sah|eye die|the Töchter|daughter Kanaans|Canaan
28:9	ging|go er|Esau hin|go zu|to Ismael|Ishmael und|and nahm|take zu|to den|the Weibern|wives die|the er|he zuvor|former hatte|had Mahalath|Mahalath die|the Tochter|daughter Ismaels|Ishmael des|of-the Sohnes|son Abrahams|old die|the Schwester|sister Nebajoths|Nebajoth zum|as-a Weibe|wife
28:10	Aber|but Jakob|Jacob zog|went aus|bring von|from Beer-|[Beer-] Seba|Seba und|and reiste|go gen|to Haran|Haran
28:11	und|and kam|fall an|to einen|a Ort|place da|then blieb|stayed er|he über|over Nacht|lodge denn|for die|the Sonne|sun war|was untergegangen|had-gone-down Und|and er|he nahm|take einen|a Stein|stone des|of-the Orts|place und|and legte|put ihn|him zu|to seinen|his Häupten|bolster und|and legte|put sich|lie an|to dem|the Ort|place schlafen|lie
28:12	Und|and ihm|him träumte|dream und|and siehe|behold eine|a Leiter|ladder stand|stand auf|on der|the Erde|earth die|the rührte|touch mit|with der|the Spitze|head an|to den|the Himmel|heaven und|and siehe|behold die|the Engel|angel Gottes|of-God stiegen|offer daran|by-this auf|offer und|and nieder|descend
28:13	und|and der|the HERR|GOD stand|stand obendarauf|above-it und|and sprach|said Ich|I bin|am der|the HERR|GOD Abrahams|Abraham's deines|your Vaters|father's Gott|God und|and Isaaks|Isaac Gott|God das|the Land|land darauf|on-it du|you liegst|lie will|will ich|I dir|you und|and deinem|your Samen|seed geben|put
28:14	Und|and dein|your Same|seed soll|shall werden|be wie|as der|the Staub|dust auf|on Erden|earth und|and du|you sollst|shall ausgebreitet|spread-abroad werden|increase gegen|toward Abend|sea Morgen|east Mitternacht|north und|and Mittag|south und|and durch|through dich|you und|and deinen|your Samen|seed sollen|shall alle|all Geschlechter|families auf|on Erden|earth gesegnet|blessed werden|bless
28:15	Und|and siehe|behold ich|I bin|am mit|with dir|you und|and will|will dich|you behüten|keep wo|where du|you hin|away ziehst|go und|and will|will dich|you wieder|back herbringen|return in|in dies|this Land|land Denn|for ich|I will|will dich|you nicht|not lassen|forsake bis|until daß|that ich|I tue|make alles|all was|what ich|I dir|you geredet|spoken habe|speak
28:16	Da|then nun|now Jakob|Jacob von|from seinem|his Schlaf|sleep aufwachte|awake sprach|said er|he Gewiß|surely ist|is der|the HERR|GOD an|to diesem|this Ort|place und|and ich|I wußte|know es|it nicht|not
28:17	und|and fürchtete|was-afraid sich|fear und|and sprach|said Wie|as heilig|fear ist|is diese|these Stätte|place Hier|here ist|is nichts|nothing anderes|other als|when Gottes|of-God Haus|household und|and hier|here ist|is die|the Pforte|gate des|of-the Himmels|heaven
28:18	Und|and Jakob|Jacob stand|betimes des|of-the Morgens|morning früh|early auf|betimes und|and nahm|take den|the Stein|stone den|the er|he zu|to seinen|his Häupten|bolster gelegt|lain hatte|put und|and richtete|pitched ihn|him auf|put zu|to einem|a Mal|image und|and goß|pour Öl|oil obendarauf|head
28:19	und|and hieß|call die|the Stätte|place Beth-|[Beth-] El|Bethel zuvor|first aber|but hieß|name die|the Stadt|town Lus|Luz
28:20	Und|and Jakob|Jacob tat|vow ein|a Gelübde|vow und|and sprach|said So|then Gott|God wird|will mit|with mir|me sein|his und|and mich|me behüten|keep auf|on dem|the Wege|way den|the ich|I reise|go und|and mir|me Brot|bread zu|to essen|eat geben|put und|and Kleider|garments anzuziehen|clothe
28:21	und|and mich|me in|in Frieden|peace wieder|return heim|household zu|to meinem|my Vater|father bringen|return so|then soll|shall der|the HERR|GOD mein|my Gott|God sein|his
28:22	und|and dieser|this Stein|stone den|the ich|I aufgerichtet|set-up habe|put zu|to einem|a Mal|image soll|shall ein|a Gotteshaus|household werden|be und|and von|from allem|all was|what du|you mir|me gibst|put will|will ich|I dir|you den|the Zehnten|tenth geben|tithe
29:1	Da|then hob|bear Jakob|Jacob seine|his Füße|feet auf|bear und|and ging|go in|in das|the Land|land das|the gegen|toward Morgen|east liegt|lies
29:2	und|and sah|saw sich|himself um|see und|and siehe|behold da|then war|was ein|a Brunnen|well auf|on dem|the Felde|field und|and siehe|behold drei|three Herden|flock Schafe|flock lagen|lay dabei|beside-it denn|for von|from dem|the Brunnen|well pflegten|would sie|they die|the Herden|flock zu|to tränken|drink und|and ein|a großer|great Stein|stone lag|lay vor|before dem|the Loch|mouth des|of-the Brunnens|well
29:3	Und|and sie|they pflegten|would die|the Herden|flock alle|all daselbst|there zu|to versammeln|gather und|and den|the Stein|stone von|from dem|the Brunnenloch|mouth zu|to wälzen|roll und|and die|the Schafe|flock zu|to tränken|drink und|and taten|return alsdann|then den|the Stein|stone wieder|return vor|before das|the Loch|mouth an|to seine|his Stätte|place
29:4	Und|and Jakob|Jacob sprach|said zu|to ihnen|them Liebe|my Brüder|brothers wo|where seid|are ihr|you her|here Sie|they antworteten|answered Wir|we sind|are von|from Haran|Haran
29:5	Er|he sprach|said zu|to ihnen|them Kennt|know ihr|know auch|also Laban|Laban den|the Sohn|old Nahors|Nahor Sie|they antworteten|answered Wir|we kennen|know ihn|him wohl|well
29:6	Er|he sprach|said Geht|goes es|it ihm|him auch|also wohl|peace Sie|they antworteten|answered Es|it geht|goes ihm|him wohl|peace und|and siehe|behold da|then kommt|comes seine|his Tochter|daughter Rahel|Rachel mit|with den|the Schafen|flock
29:7	Er|he sprach|said Es|it ist|is noch|still hoher|great Tag|time und|and ist|is noch|still nicht|not Zeit|time das|the Vieh|cattle einzutreiben|to-be-gathered tränkt|drink doch|please die|the Schafe|flock und|and geht|goes hin|go und|and weidet|feed sie|they
29:8	Sie|they antworteten|answered Wir|we können|can nicht|could bis|until daß|that alle|all Herden|flock zusammengebracht|gathered werden|be und|and wir|we den|the Stein|stone von|from des|of-the Brunnens|well Loch|mouth wälzen|roll und|and also|so die|the Schafe|flock tränken|drink
29:9	Als|when er|he noch|testify mit|with ihnen|them redete|speak kam|came Rahel|Rachel mit|with den|the Schafen|flock ihres|her Vaters|father's denn|for sie|they hütete|feed die|the Schafe|sheep
29:10	Da|then aber|but Jakob|Jacob sah|see Rahel|Rachel die|the Tochter|daughter Labans|Laban des|of-the Bruders|brother seiner|his Mutter|mother und|and die|the Schafe|flock Labans|Laban des|of-the Bruders|brother seiner|his Mutter|mother trat|come er|Jacob hinzu|come und|and wälzte|roll den|the Stein|stone von|from dem|the Loch|mouth des|of-the Brunnens|well und|and tränkte|drink die|the Schafe|flock Labans|Laban des|of-the Bruders|brother seiner|his Mutter|mother
29:11	Und|and er|Jacob küßte|kiss Rahel|Rachel und|and weinte|weep laut|bear
29:12	und|Jacob sagte|tell ihr|Rachel an|tell daß|that er|he ihres|her Vaters|father's Bruder|brother wäre|was und|and Rebekkas|Rebekah Sohn|old Da|then lief|run sie|they und|and sagte|tell es|it ihrem|her Vater|father an|tell
29:13	Da|then aber|but Laban|Laban hörte|hear von|from Jakob|Jacob seiner|his Schwester|sister Sohn|old lief|ran er|run ihm|him entgegen|meet und|and herzte|embrace und|and küßte|kiss ihn|him und|and führte|brought ihn|him in|in sein|his Haus|household Da|then erzählte|scribe er|he dem|the Laban|Laban alle|all diese|these Sachen|word
29:14	Da|then sprach|said Laban|Laban zu|to ihm|him Wohlan|now du|you bist|are mein|my Bein|bone und|and mein|my Fleisch|flesh Und|and da|then er|he einen|a Monat|month lang|time bei|with ihm|him gewesen|been war|dwell
29:15	sprach|said Laban|Laban zu|to Jakob|Jacob Wiewohl|because du|you mein|my Bruder|brother bist|are solltest|should du|you mir|me darum|therefore umsonst|causeless dienen|serve Sage|say an|tell was|what soll|shall dein|your Lohn|wages sein|his
29:16	Laban|Laban aber|but hatte|had zwei|two Töchter|daughter die|the ältere|great hieß|name Lea|Leah und|and die|the jüngere|small Rahel|Rachel
29:17	Aber|but Lea|Leah hatte|had ein|a blödes|tender Gesicht|eye Rahel|Rachel war|was hübsch|fair und|and schön|fair
29:18	Und|and Jakob|Jacob gewann|loved die|the Rahel|Rachel lieb|loved und|and sprach|said Ich|I will|will dir|you sieben|seven Jahre|year um|for Rahel|Rachel deine|your jüngere|small Tochter|daughter dienen|serve
29:19	Laban|Laban antwortete|answered Es|it ist|is besser|good ich|I gebe|put sie|they dir|you als|when einem|a andern|another bleibe|dwell bei|with mir|me
29:20	Also|so diente|serve Jakob|Jacob um|for Rahel|Rachel sieben|seven Jahre|year und|and sie|they deuchten|seemed ihn|eye als|when wären|were s|[s] einzelne|a-few Tage|time so|then lieb|loved hatte|had er|he sie|they
29:21	Und|and Jakob|Jacob sprach|said zu|to Laban|Laban Gib|give mir|me nun|now mein|my Weib|wife denn|for die|the Zeit|time ist|is hier|fill daß|that ich|I zu|to ihr|you gehe|go
29:22	Da|then lud|Lud Laban|Laban alle|all Leute|men des|of-the Orts|place und|and machte|make ein|a Hochzeitsmahl|feast
29:23	Des|of-the Abends|even aber|but nahm|take er|he seine|his Tochter|daughter Lea|Leah und|and brachte|brought sie|they zu|to ihm|him und|and er|he ging|went zu|to ihr|you
29:24	Und|and Laban|Laban gab|put seiner|his Tochter|daughter Lea|Leah seine|his Magd|handmaid Silpa|Zilpah.Zilpâh zur|to-the Magd|handmaid
29:25	Des|of-the Morgens|morning aber|but siehe|behold da|then war|was es|it Lea|Leah Und|and er|he sprach|said zu|to Laban|Laban Warum|why hast|have du|you mir|me das|the getan|make Habe|have ich|I dir|you nicht|not um|for Rahel|Rachel gedient|serve Warum|why hast|have du|you mich|me denn|for betrogen|deceived
29:26	Laban|Laban antwortete|answered Es|it ist|is nicht|not Sitte|make in|in unserm|our lande|place daß|that man|one die|the jüngere|younger ausgebe|put vor|face der|the älteren|firstborn
29:27	Halte|fill mit|with dieser|hereby (-in die|the Woche|week aus|fill so|then will|will ich|I dir|you diese|these auch|also geben|put um|for den|the Dienst|service den|the du|you bei|with mir|me noch|still andere|other sieben|seven Jahre|year dienen|serve sollst|serve
29:28	Jakob|Jacob tat|make also|so und|and hielt|fill die|the Woche|week aus|fill Da|then gab|put ihm|him Laban|Laban Rahel|Rachel seine|his Tochter|daughter zum|as-a Weibe|wife
29:29	und|Laban gab|put seiner|his Tochter|daughter Rahel|Rachel seine|his Magd|handmaid Bilha|Bilhah zur|to-the Magd|handmaid
29:30	Also|so ging|went er|he auch|also zu|to Rahel|Rachel ein|a und|and hatte|had Rahel|Rachel lieber|more als|when Lea|Leah und|and diente|serve bei|with ihm|him fürder|yet die|the andern|another sieben|seven Jahre|year
29:31	Da|then aber|but der|the HERR|GOD sah|see daß|that Lea|Leah unwert|unloved war|hate machte|made er|he sie|they fruchtbar|open Rahel|Rachel aber|but war|was unfruchtbar|barren
29:32	Und|and Lea|Leah ward|was schwanger|conceive und|and gebar|beget einen|a Sohn|old den|the hieß|call sie|they Ruben|Reuben und|and sprach|said Der|the HERR|GOD hat|has angesehen|see mein|my Elend|affliction nun|and wird|will mich|me mein|my Mann|man liebhaben|love
29:33	Und|and ward|was abermals|again schwanger|conceive und|and gebar|beget einen|a Sohn|old und|and sprach|said Der|the HERR|GOD hat|has gehört|hear daß|that ich|I unwert|unloved bin|hate und|and hat|has mir|me diesen|this auch|also gegeben|put Und|and sie|they hieß|call ihn|name Simeon|Simeon
29:34	Abermals|again ward|was sie|they schwanger|conceive und|and gebar|beget einen|a Sohn|old und|and sprach|said Nun|once wird|will mein|my Mann|man mir|me doch|please zugetan|attached sein|join denn|for ich|I habe|beget ihm|him drei|three Söhne|old geboren|beget Darum|therefore hieß|called sie|call ihn|name Levi|Levi
29:35	Zum|as-a vierten|fourth-time ward|was sie|they schwanger|conceive und|and gebar|beget einen|a Sohn|old und|and sprach|said Nun|once will|will ich|I dem|the HERRN|GOD danken|praise Darum|therefore hieß|called sie|call ihn|name Juda|Judah Und|and hörte|heard auf|stood Kinder|sons zu|to gebären|beget
30:1	Da|then Rahel|Rachel sah|see daß|that sie|they dem|the Jakob|Jacob kein|no Kind|child gebar|beget beneidete|jealous sie|Rachel ihre|their Schwester|sister und|and sprach|said zu|to Jakob|Jacob Schaffe|give mir|me Kinder|old wo|where nicht|not so|then sterbe|die ich|die
30:2	Jakob|Jacob aber|but ward|kindled sehr|very zornig|angry auf|on Rahel|Rachel und|and sprach|said Bin|am ich|I doch|please nicht|not Gott|God der|the dir|you deines|your Leibes|lifeblood Frucht|fruit nicht|not geben|give will|withhold
30:3	Sie|they aber|but sprach|said Siehe|behold da|then ist|is meine|my Magd|maidservant Bilha|Bilhah gehe|go zu|to ihr|you daß|that sie|they auf|on meinen|my Schoß|knee gebäre|beget und|and ich|I doch|please durch|through sie|they aufgebaut|built-up werde|build
30:4	Und|and sie|they gab|put ihm|him also|so Bilha|Bilhah ihre|their Magd|handmaid zum|as-a Weibe|wife und|and Jakob|Jacob ging|went zu|to ihr|you
30:5	Also|so ward|was Bilha|Bilhah schwanger|conceive und|and gebar|beget Jakob|Jacob einen|a Sohn|old
30:6	Da|then sprach|said Rahel|Rachel Gott|God hat|has meine|my Sache|business gerichtet|judge und|and meine|my Stimme|voice erhört|hear und|and mir|me einen|a Sohn|old gegeben|put Darum|therefore hieß|call sie|they ihn|name Dan|Dan
30:7	Abermals|again ward|was Bilha|Bilhah Rahels|Rachel Magd|handmaid schwanger|conceive und|and gebar|beget Jakob|Jacob den|the andern|second Sohn|old
30:8	Da|then sprach|said Rahel|Rachel Gott|God hat|has es|it gewandt|froward mit|with mir|me und|and meiner|my Schwester|sister und|and ich|I werde|will es|it ihr|you zuvortun|could Und|and hieß|call ihn|name Naphthali|Naphtali
30:9	Da|then nun|now Lea|Leah sah|see daß|that sie|they aufgehört|stopped hatte|stood zu|to gebären|beget nahm|took sie|take ihre|their Magd|handmaid Silpa|Zilpah.Zilpâh und|and gab|put sie|they Jakob|Jacob zum|as-a Weibe|wife
30:10	Also|so gebar|beget Silpa|Zilpah.Zilpâh Leas|Leah Magd|handmaid Jakob|Jacob einen|a Sohn|old
30:11	Da|then sprach|said Lea|Leah Rüstig|good-fortune Und|and hieß|call ihn|name Gad|Gad
30:12	Darnach|after gebar|beget Silpa|Zilpah.Zilpâh Leas|Leah Magd|handmaid Jakob|Jacob den|the andern|second Sohn|old
30:13	Da|then sprach|said Lea|Leah Wohl|well mir|me denn|for mich|me werden|be selig|happy preisen|call die|the Töchter|daughter Und|and hieß|call ihn|name Asser|Asher
30:14	Ruben|Reuben ging|went aus|go zur|to-the Zeit|time der|the Weizenernte|wheat und|and fand|find Liebesäpfel|mandrake auf|on dem|the Felde|field und|and brachte|brought sie|they heim|home seiner|his Mutter|mother Lea|Leah Da|then sprach|said Rahel|Rachel zu|to Lea|Leah Gib|give mir|put von|from den|the Liebesäpfeln|mandrake deines|your Sohnes|old einen|a Teil|put
30:15	Sie|they antwortete|answered Hast|have du|you nicht|not genug|little daß|that du|you mir|me meinen|my Mann|man genommen|taken hast|take und|and willst|take auch|also die|the Liebesäpfel|mandrake meines|my Sohnes|old nehmen|take Rahel|Rachel sprach|said Wohlan|now laß|let ihn|him diese|these Nacht|night bei|with dir|you schlafen|lie um|Toah die|the Liebesäpfel|mandrake deines|your Sohnes|old
30:16	Da|then nun|now Jakob|Jacob des|of-the Abends|even vom|from-the Felde|field kam|came ging|bring ihm|him Lea|Leah hinaus|bring entgegen|meet und|and sprach|said Zu|to mir|me sollst|shall du|you kommen|come denn|for ich|I habe|have dich|you erkauft|hire um|for die|the Liebesäpfel|mandrake meines|my Sohnes|old Und|and er|he schlief|lie die|the Nacht|night bei|with ihr|you
30:17	Und|and Gott|God erhörte|hear Lea|Leah und|and sie|they ward|was schwanger|conceive und|and gebar|beget Jakob|Jacob den|the fünften|fifth Sohn|old
30:18	und|Leah sprach|said Gott|God hat|has mir|me gelohnt|hire daß|that ich|I meine|my Magd|handmaid meinem|my Manne|man gegeben|given habe|put Und|and hieß|call ihn|name Isaschar|Issachar
30:19	Abermals|again ward|was Lea|Leah schwanger|conceive und|and gebar|beget Jakob|Jacob den|the sechsten|sixth Sohn|old
30:20	und|Leah sprach|said Gott|God hat|has mich|me wohl|good beraten|endue nun|once wird|will mein|my Mann|man doch|please bei|with mir|me wohnen|dwell with.zâbal denn|for ich|I habe|have ihm|him sechs|six Söhne|old geboren|beget Und|and hieß|call ihn|name Sebulon|Zebulun
30:21	Darnach|after gebar|beget sie|they eine|a Tochter|daughter die|name hieß|call sie|they Dina|Dinah
30:22	Gott|God gedachte|remember aber|but an|to Rahel|Rachel und|and erhörte|hear sie|they und|and machte|made sie|they fruchtbar|open
30:23	Da|then ward|was sie|they schwanger|conceive und|and gebar|beget einen|a Sohn|old und|and sprach|said Gott|God hat|has meine|my Schmach|reproach von|from mir|me genommen|taken
30:24	Und|and hieß|call ihn|name Joseph|Joseph und|and sprach|said Der|the HERR|GOD wolle|more mir|me noch|still einen|a Sohn|old dazugeben|more
30:25	Da|then nun|now Rahel|Rachel den|the Joseph|Joseph geboren|born hatte|beget sprach|said Jakob|Jacob zu|to Laban|Laban Laß|let mich|me ziehen|send und|and reisen|go an|to meinen|my Ort|place in|in mein|my Land|land
30:26	Gib|put mir|me meine|my Weiber|wives und|and meine|my Kinder|child um|therein die|the ich|I dir|you gedient|served habe|serve daß|that ich|I ziehe|go denn|for du|you weißt|know wie|as ich|I dir|you gedient|served habe|service
30:27	Laban|Laban sprach|said zu|to ihm|him Laß|find mich|me Gnade|grace vor|before deinen|your Augen|eye finden|find Ich|I spüre|enchantment daß|that mich|me der|the HERR|GOD segnet|bless um|for deinetwillen|because
30:28	bestimme|curse den|the Lohn|hire den|the ich|I dir|you geben|give soll|put
30:29	Er|he aber|but sprach|said zu|to ihm|him Du|you weißt|know wie|as ich|I dir|you gedient|served habe|serve und|and was|what du|you für|for Vieh|cattle hast|have unter|under mir|me
30:30	Du|you hattest|had wenig|little ehe|face ich|I her|here kam|came nun|now aber|but ist|is s|[s] ausgebreitet|increase in|in die|the Menge|multitude und|and der|the HERR|GOD hat|has dich|you gesegnet|bless durch|through meinen|my Fuß|feet Und|and nun|now wann|long soll|shall ich|I auch|also mein|my Haus|household versorgen|make
30:31	Er|he aber|but sprach|said Was|what soll|shall ich|I dir|you denn|for geben|put Jakob|Jacob sprach|said Du|you sollst|shall mir|me nichts|nothing geben|put sondern|but so|then du|you mir|me tun|do willst|make was|what ich|I sage|word so|then will|will ich|I wiederum|return weiden|feed und|and hüten|keep deine|your Schafe|flock
30:32	Ich|I will|will heute|time durch|through alle|all deine|your Herden|flock gehen|pass und|and aussondern|depart alle|all gefleckten|speckled und|and bunten|spotted Schafe|sheep und|and alle|all schwarzen|brown Schafe|sheep und|and die|the bunten|spotted und|and gefleckten|speckled Ziegen|goat Was|what nun|now bunt|spotted und|and gefleckt|speckled fallen|bow wird|will das|the soll|shall mein|my Lohn|hire sein|his
30:33	So|then wird|will meine|my Gerechtigkeit|righteousness zeugen|answer heute|time oder|or morgen|time to come wenn|when es|it kommt|comes daß|that ich|I meinen|my Lohn|hire von|from dir|face nehmen|take soll|shall also|so daß|all (manner was|what nicht|not gefleckt|speckled oder|or bunt|spotted unter|under den|the Ziegen|goat und|and nicht|not schwarz|brown sein|his wird|will unter|under den|the Lämmern|sheep das|the sei|be ein|a Diebstahl|steal bei|with mir|me
30:34	Da|then sprach|said Laban|Laban Siehe|behold da|then es|it sei|if wie|as du|you gesagt|said hast|word
30:35	Und|and sonderte|depart des|of-the Tages|time die|the sprenkligen|ring straked und|and bunten|spotted Böcke|he goat.tayish und|and alle|all gefleckten|speckled und|and bunten|spotted Ziegen|goat wo|where nur|only was|what Weißes|white daran|by-this war|was und|and alles|all was|what schwarz|brown war|was unter|under den|the Lämmern|sheep und|and tat|did s|put unter|under die|the Hand|by seiner|his Kinder|old
30:36	und|and machte|put Raum|way drei|three Tagereisen|time weit|away zwischen|between sich|himself und|and Jakob|Jacob Also|so weidete|feed Jakob|Jacob die|the übrigen|leave Herden|flock Labans|Laban
30:37	Jakob|Jacob aber|but nahm|take Stäbe|rod von|from grünen|green Pappelbäumen|poplar Haseln|hazel und|and Kastanien|chestnut tree und|and schälte|pilled weiße|white Streifen|strake daran|by-this daß|that an|to den|the Stäben|rod das|the Weiß|white bloß|appear ward|was
30:38	und|and legte|set die|the Stäbe|rod die|the er|he geschält|peeled hatte|pilled in|in die|the Tränkrinnen|gutter vor|against die|the Herden|flock die|the kommen|come mußten|stopped zu|to trinken|drink daß|that sie|they da|then empfangen|receive sollten|conceive wenn|when sie|they zu|to trinken|drink kämen|came
30:39	Also|so empfingen|conceive die|the Herden|flock über|over den|the Stäben|rod und|and brachten|beget Sprenklinge|ring straked Gefleckte|speckled und|and Bunte|spotted
30:40	Da|then schied|separate Jakob|Jacob die|the Lämmer|sheep und|and richtete|put die|the Herde|flock mit|with dem|the Angesicht|face gegen|toward die|the Gefleckten|ring straked und|and Schwarzen|brown in|in der|the Herde|flock Labans|Laban und|and machte|made sich|set eine|a eigene|own Herde|flock die|the tat|set er|he nicht|not zu|to der|the Herde|flock Labans|Laban
30:41	Wenn|when aber|but der|the Lauf|conceive der|the Frühling-|[Frühling-] Herde|conspired war|was legte|put er|Jacob die|the Stäbe|rod in|in die|the Rinnen|gutter vor|before die|the Augen|eye der|the Herde|flock daß|that sie|they über|over den|the Stäben|rod empfingen|conceive
30:42	aber|but in|in der|the Spätlinge|weaker-animals Lauf|overwhelmed legte|put er|he sie|they nicht|not hinein|in Also|so wurden|were die|the Spätlinge|overwhelmed des|of-the Laban|Laban aber|but die|the Frühlinge|conspired des|of-the Jakob|Jacob
30:43	Daher|therefore ward|increase der|the Mann|man über|over die|the Maßen|very reich|increase daß|that er|he viele|many Schafe|flock Mägde|handmaid und|and Knechte|servant Kamele|camel und|and Esel|ass hatte|had
31:1	Und|and es|it kamen|came vor|before ihn|hear die|the Reden|word der|the Kinder|old Labans|Laban daß|that sie|they sprachen|said Jakob|Jacob hat|has alles|all Gut|good unsers|our Vaters|father's an|to sich|himself gebracht|take und|and von|from unsers|our Vaters|father's Gut|good hat|has er|he solchen|such Reichtum|glory zuwege|brought-about gebracht|make
31:2	Und|and Jakob|Jacob sah|see an|to das|the Angesicht|face Labans|Laban und|and siehe|behold es|it war|was nicht|not gegen|toward ihn|him wie|as gestern|yesterday und|and ehegestern|before
31:3	Und|and der|the HERR|GOD sprach|said zu|to Jakob|Jacob Ziehe|go wieder|return in|in deiner|your Väter|fathers Land|land und|and zu|to deiner|your Freundschaft|kindred ich|I will|will mit|with dir|you sein|his
31:4	Da|then sandte|send Jakob|Jacob hin|away und|and ließ|had rufen|call Rahel|Rachel und|and Lea|Leah aufs|to-the Feld|field zu|to seiner|his Herde|flock
31:5	und|and sprach|said zu|to ihnen|them Ich|I sehe|see eures|your Vaters|father's Angesicht|face daß|that es|it nicht|not gegen|toward mich|me ist|is wie|as gestern|yesterday und|and ehegestern|before aber|but der|the Gott|God meines|my Vaters|father's ist|is mit|with mir|me gewesen|be thou
31:6	Und|and ihr|you wißt|know daß|that ich|I aus|from allen|all meinen|my Kräften|strength eurem|your Vater|father gedient|served habe|serve
31:7	Und|and er|he hat|has mich|me getäuscht|mock und|and nun|now zehnmal|ten meinen|my Lohn|wages verändert|change aber|but Gott|God hat|has ihm|him nicht|not gestattet|put daß|that er|he mir|with Schaden|harm täte|evil
31:8	Wenn|when er|he sprach|said Die|the Bunten|speckled sollen|shall dein|your Lohn|hire sein|his so|then trug|beget die|the ganze|whole Herde|flock Bunte|speckled Wenn|when er|he aber|but sprach|said Die|the Sprenkligen|ring straked sollen|shall dein|your Lohn|hire sein|his so|then trug|beget die|the ganze|whole Herde|flock Sprenklinge|ring straked
31:9	Also|so hat|has Gott|God die|the Güter|cattle eures|your Vaters|father's ihm|him entwandt|deliver und|and mir|me gegeben|put
31:10	Denn|for wenn|when die|the Zeit|time des|of-the Laufs|conceive kam|came hob|bear ich|I meine|my Augen|eye auf|bear und|and sah|see im|in-the Traum|dream und|and siehe|behold die|the Böcke|goats die|the auf|on die|the Herde|flock sprangen|offer waren|were sprenklig|ring straked gefleckt|speckled und|and bunt|grisled
31:11	Und|and der|the Engel|angel Gottes|of-God sprach|said zu|to mir|me im|in-the Traum|dream Jakob|Jacob Und|and ich|I antwortete|answered Hier|here bin|am ich|I
31:12	Er|he aber|but sprach|said Hebe|bear deine|your Augen|eye und|and siehe|see alle|all Böcke|goats die|the auf|on die|the Herde|flock springen|offer sind|are sprenklig|ring straked gefleckt|speckled und|and bunt|grisled denn|for ich|I habe|have alles|all gesehen|see was|what dir|you Laban|Laban tut|make
31:13	Ich|I bin|am der|the Gott|God zu|to Beth-|[Beth-] El|Bethel da|then du|you den|the Stein|image gesalbt|anointed hast|anoint und|and mir|me daselbst|there ein|a Gelübde|vow getan|vow Nun|now mache|make dich|you auf|arise und|and zieh|bring aus|from diesem|this Land|land und|and zieh|go wieder|return in|in das|the Land|land deiner|your Freundschaft|kindred
31:14	Da|then antworteten|answer Rahel|Rachel und|and Lea|Leah und|and sprachen|said zu|to ihm|him Wir|we haben|have doch|please kein|no Teil|portion noch|still Erbe|inheritance mehr|more in|in unsers|our Vaters|father's Hause|household
31:15	Hat|has er|he uns|us doch|please gehalten|count wie|as die|the Fremden|stranger denn|for er|he hat|has uns|us verkauft|sell und|and unsern|our Lohn|silver verzehrt|have-eaten
31:16	darum|therefore hat|has Gott|God unserm|our Vater|father entwandt|deliver seinen|his Reichtum|riches zu|to uns|us und|and unsern|our Kindern|old Alles|all nun|now was|what Gott|God dir|you gesagt|said hat|has das|the tue|make
31:17	Also|so machte|arise sich|himself Jakob|Jacob auf|arise und|and lud|bear seine|his Kinder|old und|and Weiber|wives auf|on Kamele|camel
31:18	und|and führte|brought weg|lead all|all sein|his Vieh|cattle und|and alle|all seine|his Habe|goods die|the er|he zu|to Mesopotamien|Padanaram erworben|acquired hatte|got daß|that er|he käme|might-go zu|to Isaak|Isaac seinem|his Vater|father ins|into-the Land|land Kanaan|Canaan
31:19	Laban|Laban aber|but war|was gegangen|go sein|his Herde|flock zu|to scheren|shear Und|and Rahel|Rachel stahl|steal ihres|her Vaters|father's Götzen|image
31:20	Also|so täuschte|steal Jakob|Jacob den|the Laban|Laban zu|to Syrien|Aram damit|thus daß|above er|he ihm|him nicht|corruption ansagte|tell daß|that er|he floh|flee
